image_path,class,file_name
data\raw\Bacteria\20230816_142329.jpg,Bacteria,20230816_142329.jpg
data\raw\Pest\20230802_110008548.jpg,Pest,20230802_110008548.jpg
data\raw\Nematode\IMG_8331.JPG,Nematode,IMG_8331.JPG
data\raw\Early_blight\07953ca1-8935-449f-b338-4357ed683b2d___RS_Early.B 6815.JPG,Early_blight,07953ca1-8935-449f-b338-4357ed683b2d___RS_Early.B 6815.JPG
data\raw\Fungi\IMG_0706.JPG,Fungi,IMG_0706.JPG
data\raw\Late_blight\573c1cb5-fb43-4b19-886d-638a87bc134b___RS_LB 4007.JPG,Late_blight,573c1cb5-fb43-4b19-886d-638a87bc134b___RS_LB 4007.JPG
data\raw\Bacteria\20230816_134501.jpg,Bacteria,20230816_134501.jpg
data\raw\Early_blight\69a20537-e5fd-4f1e-8800-ef9aa4fa4766___RS_Early.B 8111.JPG,Early_blight,69a20537-e5fd-4f1e-8800-ef9aa4fa4766___RS_Early.B 8111.JPG
data\raw\Early_blight\92a30efc-6b2f-4e17-8688-e477e5d39bd9___RS_Early.B 7343.JPG,Early_blight,92a30efc-6b2f-4e17-8688-e477e5d39bd9___RS_Early.B 7343.JPG
data\raw\Late_blight\5ad9dba9-ed81-437e-8d5d-1d6660514462___RS_LB 4439.JPG,Late_blight,5ad9dba9-ed81-437e-8d5d-1d6660514462___RS_LB 4439.JPG
data\raw\Pest\20230712_143935.jpg,Pest,20230712_143935.jpg
data\raw\Healthy\20230816_083748.jpg,Healthy,20230816_083748.jpg
data\raw\Bacteria\20230816_141617.jpg,Bacteria,20230816_141617.jpg
data\raw\Bacteria\20230815_115905.jpg,Bacteria,20230815_115905.jpg
data\raw\Late_blight\958a4438-2ced-4d8c-af73-871376cf6ed5___RS_LB 4483.JPG,Late_blight,958a4438-2ced-4d8c-af73-871376cf6ed5___RS_LB 4483.JPG
data\raw\Phytopthora\IMG_9535 (1).JPG,Phytopthora,IMG_9535 (1).JPG
data\raw\Late_blight\d4486c3c-6d93-4d08-a3f5-7f4ae1f7ef3b___RS_LB 2829.JPG,Late_blight,d4486c3c-6d93-4d08-a3f5-7f4ae1f7ef3b___RS_LB 2829.JPG
data\raw\Late_blight\f9bd5093-1f62-4d00-bb66-7f65ce5c412b___RS_LB 2854.JPG,Late_blight,f9bd5093-1f62-4d00-bb66-7f65ce5c412b___RS_LB 2854.JPG
data\raw\Bacteria\20230816_142605.jpg,Bacteria,20230816_142605.jpg
data\raw\Late_blight\85d29f87-cb27-4ffa-9ad8-9c47f9a53b33___RS_LB 4437.JPG,Late_blight,85d29f87-cb27-4ffa-9ad8-9c47f9a53b33___RS_LB 4437.JPG
data\raw\Bacteria\20230815_111919.jpg,Bacteria,20230815_111919.jpg
data\raw\Late_blight\4d96b41e-8e2e-4a0d-b9a2-0ab8456e4074___RS_LB 3893.JPG,Late_blight,4d96b41e-8e2e-4a0d-b9a2-0ab8456e4074___RS_LB 3893.JPG
data\raw\Bacteria\20230816_135611.jpg,Bacteria,20230816_135611.jpg
data\raw\Fungi\20230802_105548597.jpg,Fungi,20230802_105548597.jpg
data\raw\Early_blight\e6aec621-1699-433a-8cf5-7310ec895810___RS_Early.B 8764.JPG,Early_blight,e6aec621-1699-433a-8cf5-7310ec895810___RS_Early.B 8764.JPG
data\raw\Fungi\IMG_0254 (1).JPG,Fungi,IMG_0254 (1).JPG
data\raw\Fungi\IMG_0403 (1).JPG,Fungi,IMG_0403 (1).JPG
data\raw\Fungi\20230802_105518694.jpg,Fungi,20230802_105518694.jpg
data\raw\Late_blight\e749122f-0dcc-4613-87a9-5347a51a7b58___RS_LB 4409.JPG,Late_blight,e749122f-0dcc-4613-87a9-5347a51a7b58___RS_LB 4409.JPG
data\raw\Late_blight\71f6c664-3b77-45ef-a1de-e00685c78add___RS_LB 4441.JPG,Late_blight,71f6c664-3b77-45ef-a1de-e00685c78add___RS_LB 4441.JPG
data\raw\Phytopthora\20230802_125057734.jpg,Phytopthora,20230802_125057734.jpg
data\raw\Virus\20230712_133213.jpg,Virus,20230712_133213.jpg
data\raw\Virus\20230815_150500.jpg,Virus,20230815_150500.jpg
data\raw\Fungi\20230712_123313.jpg,Fungi,20230712_123313.jpg
data\raw\Late_blight\8f8e338a-b6ac-4ca7-b3f3-596dc15eb140___RS_LB 3970.JPG,Late_blight,8f8e338a-b6ac-4ca7-b3f3-596dc15eb140___RS_LB 3970.JPG
data\raw\Bacteria\20230815_122418.jpg,Bacteria,20230815_122418.jpg
data\raw\Early_blight\1082eee1-189d-4e0f-96b5-8b1393be4c4c___RS_Early.B 8743.JPG,Early_blight,1082eee1-189d-4e0f-96b5-8b1393be4c4c___RS_Early.B 8743.JPG
data\raw\Pest\20230802_125358.jpg,Pest,20230802_125358.jpg
data\raw\Virus\20230815_150510.jpg,Virus,20230815_150510.jpg
data\raw\Virus\20230815_150341.jpg,Virus,20230815_150341.jpg
data\raw\Late_blight\8e1d2020-3d04-46b1-bd71-82922e1aeaa6___RS_LB 5017.JPG,Late_blight,8e1d2020-3d04-46b1-bd71-82922e1aeaa6___RS_LB 5017.JPG
data\raw\Bacteria\IMG_1011.JPG,Bacteria,IMG_1011.JPG
data\raw\Fungi\IMG_4725.JPG,Fungi,IMG_4725.JPG
data\raw\Virus\IMG_1125.JPG,Virus,IMG_1125.JPG
data\raw\Nematode\20230802_105230.jpg,Nematode,20230802_105230.jpg
data\raw\Virus\20230815_112745.jpg,Virus,20230815_112745.jpg
data\raw\Virus\IMG_0646.JPG,Virus,IMG_0646.JPG
data\raw\Pest\1692334247132.jpg,Pest,1692334247132.jpg
data\raw\Virus\20230815_120100.jpg,Virus,20230815_120100.jpg
data\raw\Late_blight\74ee080b-cad8-4090-9f2a-07411eb8481a___RS_LB 4956.JPG,Late_blight,74ee080b-cad8-4090-9f2a-07411eb8481a___RS_LB 4956.JPG
data\raw\Early_blight\1c4e0445-375a-4c5d-b6fd-6123d22f009f___RS_Early.B 7972.JPG,Early_blight,1c4e0445-375a-4c5d-b6fd-6123d22f009f___RS_Early.B 7972.JPG
data\raw\Virus\IMG_0462.JPG,Virus,IMG_0462.JPG
data\raw\Fungi\20230802_105530853.jpg,Fungi,20230802_105530853.jpg
data\raw\Early_blight\55daa016-a408-4de3-a79e-53d0ec53ea16___RS_Early.B 7686.JPG,Early_blight,55daa016-a408-4de3-a79e-53d0ec53ea16___RS_Early.B 7686.JPG
data\raw\Bacteria\IMG_1091.JPG,Bacteria,IMG_1091.JPG
data\raw\Early_blight\fdf3c33c-dad6-4f13-bd58-a31d327d9cb9___RS_Early.B 8947.JPG,Early_blight,fdf3c33c-dad6-4f13-bd58-a31d327d9cb9___RS_Early.B 8947.JPG
data\raw\Late_blight\716325d9-fca6-46b4-8f5a-f6729c211200___RS_LB 3958.JPG,Late_blight,716325d9-fca6-46b4-8f5a-f6729c211200___RS_LB 3958.JPG
data\raw\Fungi\IMG_20230816_121402.jpg,Fungi,IMG_20230816_121402.jpg
data\raw\Pest\IMG_0610.JPG,Pest,IMG_0610.JPG
data\raw\Late_blight\afc0f88e-8a22-44d1-8575-8945058360c7___RS_LB 4895.JPG,Late_blight,afc0f88e-8a22-44d1-8575-8945058360c7___RS_LB 4895.JPG
data\raw\Fungi\20230712_154637.jpg,Fungi,20230712_154637.jpg
data\raw\Pest\20230802_120511035.jpg,Pest,20230802_120511035.jpg
data\raw\Late_blight\b03529cf-21fd-4c94-a948-461a8d17e01c___RS_LB 4828.JPG,Late_blight,b03529cf-21fd-4c94-a948-461a8d17e01c___RS_LB 4828.JPG
data\raw\Early_blight\a60106e3-e037-495f-8b5a-080adcb9bdd9___RS_Early.B 8561.JPG,Early_blight,a60106e3-e037-495f-8b5a-080adcb9bdd9___RS_Early.B 8561.JPG
data\raw\Phytopthora\20230802_124336.jpg,Phytopthora,20230802_124336.jpg
data\raw\Fungi\IMG_9453.JPG,Fungi,IMG_9453.JPG
data\raw\Early_blight\dd875158-7897-4f5d-ada1-46e7e382ea96___RS_Early.B 7912.JPG,Early_blight,dd875158-7897-4f5d-ada1-46e7e382ea96___RS_Early.B 7912.JPG
data\raw\Fungi\20230816_122009.jpg,Fungi,20230816_122009.jpg
data\raw\Late_blight\b9aecfc3-98d5-467a-8773-ee2905918c71___RS_LB 5161.JPG,Late_blight,b9aecfc3-98d5-467a-8773-ee2905918c71___RS_LB 5161.JPG
data\raw\Fungi\20230712_154021.jpg,Fungi,20230712_154021.jpg
data\raw\Bacteria\IMG_1151.JPG,Bacteria,IMG_1151.JPG
data\raw\Bacteria\20230816_134725.jpg,Bacteria,20230816_134725.jpg
data\raw\Early_blight\ed270d5d-3523-4bc2-b208-4f5304bbfeef___RS_Early.B 8218.JPG,Early_blight,ed270d5d-3523-4bc2-b208-4f5304bbfeef___RS_Early.B 8218.JPG
data\raw\Late_blight\fbe08e9f-d4a0-4a6e-9741-c34fda88b3d2___RS_LB 4540.JPG,Late_blight,fbe08e9f-d4a0-4a6e-9741-c34fda88b3d2___RS_LB 4540.JPG
data\raw\Pest\20230802_115744.jpg,Pest,20230802_115744.jpg
data\raw\Phytopthora\IMG_0366.JPG,Phytopthora,IMG_0366.JPG
data\raw\Early_blight\6cec2d2b-7b6a-4044-9899-92d4f9332cd6___RS_Early.B 9131.JPG,Early_blight,6cec2d2b-7b6a-4044-9899-92d4f9332cd6___RS_Early.B 9131.JPG
data\raw\Fungi\IMG_0741.JPG,Fungi,IMG_0741.JPG
data\raw\Late_blight\d4463dcb-ae91-4329-8c6d-6da1eecbaaac___RS_LB 2788.JPG,Late_blight,d4463dcb-ae91-4329-8c6d-6da1eecbaaac___RS_LB 2788.JPG
data\raw\Virus\20230815_114328.jpg,Virus,20230815_114328.jpg
data\raw\Healthy\20230802_120908.jpg,Healthy,20230802_120908.jpg
data\raw\Healthy\20230802_105340269.jpg,Healthy,20230802_105340269.jpg
data\raw\Phytopthora\IMG_8290.JPG,Phytopthora,IMG_8290.JPG
data\raw\Virus\20230802_115610.jpg,Virus,20230802_115610.jpg
data\raw\Early_blight\4a06db68-bed1-4ae6-80ba-e9df70fa6f7b___RS_Early.B 8657.JPG,Early_blight,4a06db68-bed1-4ae6-80ba-e9df70fa6f7b___RS_Early.B 8657.JPG
data\raw\Early_blight\d5673be4-4d62-4287-b9a4-3653b88d1604___RS_Early.B 8304.JPG,Early_blight,d5673be4-4d62-4287-b9a4-3653b88d1604___RS_Early.B 8304.JPG
data\raw\Late_blight\89c3b470-f3e6-4a8c-90a0-edfc0ef73085___RS_LB 4543.JPG,Late_blight,89c3b470-f3e6-4a8c-90a0-edfc0ef73085___RS_LB 4543.JPG
data\raw\Pest\IMG_8308.JPG,Pest,IMG_8308.JPG
data\raw\Virus\20230816_145811.jpg,Virus,20230816_145811.jpg
data\raw\Bacteria\IMG_1082.JPG,Bacteria,IMG_1082.JPG
data\raw\Late_blight\377e9523-f375-4c0c-9d66-5abf2abfaefb___RS_LB 2504.JPG,Late_blight,377e9523-f375-4c0c-9d66-5abf2abfaefb___RS_LB 2504.JPG
data\raw\Healthy\46b2555a-c0a6-48c2-af13-0816e147e4de___RS_HL 1943.JPG,Healthy,46b2555a-c0a6-48c2-af13-0816e147e4de___RS_HL 1943.JPG
data\raw\Early_blight\3ef2279b-2fda-463a-b007-e2a93ff977f0___RS_Early.B 7235.JPG,Early_blight,3ef2279b-2fda-463a-b007-e2a93ff977f0___RS_Early.B 7235.JPG
data\raw\Fungi\IMG_20230816_081411 (1).jpg,Fungi,IMG_20230816_081411 (1).jpg
data\raw\Early_blight\af79e762-c2f7-4e37-926b-ce27dbc52fc4___RS_Early.B 6858.JPG,Early_blight,af79e762-c2f7-4e37-926b-ce27dbc52fc4___RS_Early.B 6858.JPG
data\raw\Early_blight\4e7faad5-4f3c-432a-8a71-bbe198aece77___RS_Early.B 7354.JPG,Early_blight,4e7faad5-4f3c-432a-8a71-bbe198aece77___RS_Early.B 7354.JPG
data\raw\Phytopthora\IMG_9566.JPG,Phytopthora,IMG_9566.JPG
data\raw\Phytopthora\IMG_8146.JPG,Phytopthora,IMG_8146.JPG
data\raw\Late_blight\0fe7786d-0e2f-4705-839d-898f1d9214b0___RS_LB 2836.JPG,Late_blight,0fe7786d-0e2f-4705-839d-898f1d9214b0___RS_LB 2836.JPG
data\raw\Pest\IMG_0827.JPG,Pest,IMG_0827.JPG
data\raw\Early_blight\5c43b799-a722-4209-b571-2a7ca23de273___RS_Early.B 7321.JPG,Early_blight,5c43b799-a722-4209-b571-2a7ca23de273___RS_Early.B 7321.JPG
data\raw\Late_blight\580e8c49-3b1c-46d2-b3f4-68f0b3de0d77___RS_LB 4063.JPG,Late_blight,580e8c49-3b1c-46d2-b3f4-68f0b3de0d77___RS_LB 4063.JPG
data\raw\Late_blight\43dde1e0-8c73-45af-8fbf-d500e450a154___RS_LB 3270.JPG,Late_blight,43dde1e0-8c73-45af-8fbf-d500e450a154___RS_LB 3270.JPG
data\raw\Bacteria\20230816_142343.jpg,Bacteria,20230816_142343.jpg
data\raw\Fungi\IMG_4749.JPG,Fungi,IMG_4749.JPG
data\raw\Healthy\20230712_122717.jpg,Healthy,20230712_122717.jpg
data\raw\Early_blight\aa0ad1ba-f08a-4376-82a1-fec51fbf6810___RS_Early.B 7478.JPG,Early_blight,aa0ad1ba-f08a-4376-82a1-fec51fbf6810___RS_Early.B 7478.JPG
data\raw\Pest\20230802_115125860.jpg,Pest,20230802_115125860.jpg
data\raw\Healthy\52dd2fdd-6966-450c-a42b-ee14428d4271___RS_HL 1955.JPG,Healthy,52dd2fdd-6966-450c-a42b-ee14428d4271___RS_HL 1955.JPG
data\raw\Virus\20230816_114506.jpg,Virus,20230816_114506.jpg
data\raw\Bacteria\20230815_111318.jpg,Bacteria,20230815_111318.jpg
data\raw\Virus\IMG_0242.JPG,Virus,IMG_0242.JPG
data\raw\Nematode\20230816_084155.jpg,Nematode,20230816_084155.jpg
data\raw\Phytopthora\IMG_9531 (1).JPG,Phytopthora,IMG_9531 (1).JPG
data\raw\Healthy\20230922_154212.jpg,Healthy,20230922_154212.jpg
data\raw\Phytopthora\20230802_124739.jpg,Phytopthora,20230802_124739.jpg
data\raw\Phytopthora\IMG_9524 (1).JPG,Phytopthora,IMG_9524 (1).JPG
data\raw\Early_blight\31290247-3f4f-445d-8bad-20d7dccbf979___RS_Early.B 7019.JPG,Early_blight,31290247-3f4f-445d-8bad-20d7dccbf979___RS_Early.B 7019.JPG
data\raw\Late_blight\36c25644-54cb-405d-abef-700d24652958___RS_LB 2606.JPG,Late_blight,36c25644-54cb-405d-abef-700d24652958___RS_LB 2606.JPG
data\raw\Pest\IMG_0321.JPG,Pest,IMG_0321.JPG
data\raw\Pest\20230802_115747.jpg,Pest,20230802_115747.jpg
data\raw\Phytopthora\IMG_0339.JPG,Phytopthora,IMG_0339.JPG
data\raw\Bacteria\20230816_142843.jpg,Bacteria,20230816_142843.jpg
data\raw\Bacteria\20230816_142020.jpg,Bacteria,20230816_142020.jpg
data\raw\Pest\20230712_123334.jpg,Pest,20230712_123334.jpg
data\raw\Fungi\20230802_111715.jpg,Fungi,20230802_111715.jpg
data\raw\Nematode\20230712_154702.jpg,Nematode,20230712_154702.jpg
data\raw\Fungi\1692335403350.jpg,Fungi,1692335403350.jpg
data\raw\Early_blight\e6d543a1-8e5e-4709-9329-b93d63f52edf___RS_Early.B 8324.JPG,Early_blight,e6d543a1-8e5e-4709-9329-b93d63f52edf___RS_Early.B 8324.JPG
data\raw\Virus\20230802_120721.jpg,Virus,20230802_120721.jpg
data\raw\Late_blight\734b84f8-3bcb-4abd-bf22-0896a16e8df7___RS_LB 2929.JPG,Late_blight,734b84f8-3bcb-4abd-bf22-0896a16e8df7___RS_LB 2929.JPG
data\raw\Healthy\5e19b1f4-fd65-4c4d-bcd2-18c8c519eddb___RS_HL 1965.JPG,Healthy,5e19b1f4-fd65-4c4d-bcd2-18c8c519eddb___RS_HL 1965.JPG
data\raw\Late_blight\93d91b96-e024-477c-9b76-796e3f1614d4___RS_LB 3297.JPG,Late_blight,93d91b96-e024-477c-9b76-796e3f1614d4___RS_LB 3297.JPG
data\raw\Healthy\20230802_124213.jpg,Healthy,20230802_124213.jpg
data\raw\Pest\20230922_163534.jpg,Pest,20230922_163534.jpg
data\raw\Pest\20230922_163458.jpg,Pest,20230922_163458.jpg
data\raw\Pest\IMG_20230816_134335.jpg,Pest,IMG_20230816_134335.jpg
data\raw\Bacteria\20230816_120911.jpg,Bacteria,20230816_120911.jpg
data\raw\Early_blight\a38df468-bb4a-4bb3-9ee9-a2dffae718e9___RS_Early.B 8690.JPG,Early_blight,a38df468-bb4a-4bb3-9ee9-a2dffae718e9___RS_Early.B 8690.JPG
data\raw\Late_blight\889d5479-9d54-49b1-9aba-3af34e377592___RS_LB 2635.JPG,Late_blight,889d5479-9d54-49b1-9aba-3af34e377592___RS_LB 2635.JPG
data\raw\Early_blight\c3ce9bae-e62a-4dd9-afa0-f020c48b87cc___RS_Early.B 6704.JPG,Early_blight,c3ce9bae-e62a-4dd9-afa0-f020c48b87cc___RS_Early.B 6704.JPG
data\raw\Bacteria\20230816_142730.jpg,Bacteria,20230816_142730.jpg
data\raw\Fungi\IMG_0254.JPG,Fungi,IMG_0254.JPG
data\raw\Early_blight\09ab9573-90d5-4001-9b74-14551935deef___RS_Early.B 7603.JPG,Early_blight,09ab9573-90d5-4001-9b74-14551935deef___RS_Early.B 7603.JPG
data\raw\Nematode\IMG_20230815_113804~2.jpg,Nematode,IMG_20230815_113804~2.jpg
data\raw\Early_blight\70da76f2-b067-40f0-82d2-16b2dec3e189___RS_Early.B 8358.JPG,Early_blight,70da76f2-b067-40f0-82d2-16b2dec3e189___RS_Early.B 8358.JPG
data\raw\Early_blight\20421747-c083-48a1-aed5-b1097ae50491___RS_Early.B 8203.JPG,Early_blight,20421747-c083-48a1-aed5-b1097ae50491___RS_Early.B 8203.JPG
data\raw\Late_blight\b0eebb8f-c322-4b56-8897-2cc98d474440___RS_LB 5286.JPG,Late_blight,b0eebb8f-c322-4b56-8897-2cc98d474440___RS_LB 5286.JPG
data\raw\Pest\20230922_163726.jpg,Pest,20230922_163726.jpg
data\raw\Fungi\IMG_9411.JPG,Fungi,IMG_9411.JPG
data\raw\Phytopthora\20230802_123451.jpg,Phytopthora,20230802_123451.jpg
data\raw\Fungi\20230815_115923.jpg,Fungi,20230815_115923.jpg
data\raw\Early_blight\438176fc-2e4a-45d1-9014-3eb2391c5832___RS_Early.B 8147.JPG,Early_blight,438176fc-2e4a-45d1-9014-3eb2391c5832___RS_Early.B 8147.JPG
data\raw\Late_blight\5d1486fa-750f-47ca-a973-abc45ea5b4fe___RS_LB 4281.JPG,Late_blight,5d1486fa-750f-47ca-a973-abc45ea5b4fe___RS_LB 4281.JPG
data\raw\Late_blight\2ed031ef-c77f-42d2-83fa-4fbfc66d67b2___RS_LB 5254.JPG,Late_blight,2ed031ef-c77f-42d2-83fa-4fbfc66d67b2___RS_LB 5254.JPG
data\raw\Late_blight\7ce28b45-467c-4962-a030-f621b4bc76a8___RS_LB 2644.JPG,Late_blight,7ce28b45-467c-4962-a030-f621b4bc76a8___RS_LB 2644.JPG
data\raw\Early_blight\52fb5725-33cf-4076-9abc-93311d027da2___RS_Early.B 8415.JPG,Early_blight,52fb5725-33cf-4076-9abc-93311d027da2___RS_Early.B 8415.JPG
data\raw\Virus\IMG_1127.JPG,Virus,IMG_1127.JPG
data\raw\Bacteria\IMG_1026.JPG,Bacteria,IMG_1026.JPG
data\raw\Late_blight\c7adbae8-04db-489d-b9e6-c12de387d25c___RS_LB 2697.JPG,Late_blight,c7adbae8-04db-489d-b9e6-c12de387d25c___RS_LB 2697.JPG
data\raw\Early_blight\b6c68639-ad01-41f9-a10c-4233423ea2b0___RS_Early.B 8573.JPG,Early_blight,b6c68639-ad01-41f9-a10c-4233423ea2b0___RS_Early.B 8573.JPG
data\raw\Early_blight\1d18a770-8a16-4765-bae9-5d96f781db89___RS_Early.B 7803.JPG,Early_blight,1d18a770-8a16-4765-bae9-5d96f781db89___RS_Early.B 7803.JPG
data\raw\Healthy\20230816_121242.jpg,Healthy,20230816_121242.jpg
data\raw\Virus\20230815_151538.jpg,Virus,20230815_151538.jpg
data\raw\Phytopthora\IMG_9425 (1).JPG,Phytopthora,IMG_9425 (1).JPG
data\raw\Virus\20230815_112557.jpg,Virus,20230815_112557.jpg
data\raw\Fungi\20230802_105914.jpg,Fungi,20230802_105914.jpg
data\raw\Pest\1692336759099.jpg,Pest,1692336759099.jpg
data\raw\Early_blight\541b768f-ec74-4f60-8e5a-778a5eb359da___RS_Early.B 8647.JPG,Early_blight,541b768f-ec74-4f60-8e5a-778a5eb359da___RS_Early.B 8647.JPG
data\raw\Virus\20230802_120044.jpg,Virus,20230802_120044.jpg
data\raw\Late_blight\1b8f80ae-38a2-4d08-ae92-f80ff4459a73___RS_LB 2554.JPG,Late_blight,1b8f80ae-38a2-4d08-ae92-f80ff4459a73___RS_LB 2554.JPG
data\raw\Pest\IMG_4831.JPG,Pest,IMG_4831.JPG
data\raw\Virus\20230816_123442.jpg,Virus,20230816_123442.jpg
data\raw\Fungi\20230816_114201.jpg,Fungi,20230816_114201.jpg
data\raw\Fungi\IMG_8320.JPG,Fungi,IMG_8320.JPG
data\raw\Early_blight\fcbf4e6c-ba09-40f5-97c2-063bb20844bc___RS_Early.B 6938.JPG,Early_blight,fcbf4e6c-ba09-40f5-97c2-063bb20844bc___RS_Early.B 6938.JPG
data\raw\Virus\IMG_20230816_081814.jpg,Virus,IMG_20230816_081814.jpg
data\raw\Bacteria\20230816_142641.jpg,Bacteria,20230816_142641.jpg
data\raw\Phytopthora\20230802_123809.jpg,Phytopthora,20230802_123809.jpg
data\raw\Bacteria\20230816_142632.jpg,Bacteria,20230816_142632.jpg
data\raw\Phytopthora\20230802_110909.jpg,Phytopthora,20230802_110909.jpg
data\raw\Late_blight\2b064606-e6e2-46e0-9788-d1049f0e4fed___RS_LB 4246.JPG,Late_blight,2b064606-e6e2-46e0-9788-d1049f0e4fed___RS_LB 4246.JPG
data\raw\Pest\IMG_0297.JPG,Pest,IMG_0297.JPG
data\raw\Fungi\20230802_124140776.jpg,Fungi,20230802_124140776.jpg
data\raw\Late_blight\dd730e05-5196-46f4-9e7b-0c01a9fdaa1b___RS_LB 3321.JPG,Late_blight,dd730e05-5196-46f4-9e7b-0c01a9fdaa1b___RS_LB 3321.JPG
data\raw\Late_blight\201186ce-cec5-47ef-9f88-bd8c4abab2c8___RS_LB 2813.JPG,Late_blight,201186ce-cec5-47ef-9f88-bd8c4abab2c8___RS_LB 2813.JPG
data\raw\Early_blight\ea403e5a-34b3-4b06-a94d-65ad2e78831f___RS_Early.B 8136.JPG,Early_blight,ea403e5a-34b3-4b06-a94d-65ad2e78831f___RS_Early.B 8136.JPG
data\raw\Late_blight\6d22d4ab-de5f-4944-96f9-4ec495a8e4f1___RS_LB 3109.JPG,Late_blight,6d22d4ab-de5f-4944-96f9-4ec495a8e4f1___RS_LB 3109.JPG
data\raw\Fungi\IMG_0868.JPG,Fungi,IMG_0868.JPG
data\raw\Early_blight\d84ba2ee-6ef5-45b7-a15a-b677b99cd3f6___RS_Early.B 6772.JPG,Early_blight,d84ba2ee-6ef5-45b7-a15a-b677b99cd3f6___RS_Early.B 6772.JPG
data\raw\Phytopthora\IMG_9517 (1).JPG,Phytopthora,IMG_9517 (1).JPG
data\raw\Healthy\2d98cbc8-cbe6-423c-b2ab-3f7f8bcea5d5___RS_HL 1945.JPG,Healthy,2d98cbc8-cbe6-423c-b2ab-3f7f8bcea5d5___RS_HL 1945.JPG
